order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
ITEM-507C8CAE,ORD-FC4B3D9B,PROD-C9395F2B,1,69.45,0.0,69.45
ITEM-E798C82B,ORD-5FA8E378,PROD-397C46BB,3,20.44,0.0,61.32
ITEM-7BCC2757,ORD-5FA8E378,PROD-8594B902,3,212.65,0.0,637.95
ITEM-5FF4622F,ORD-5FA8E378,PROD-F1C4B800,2,125.2,10,225.36
ITEM-8C843A55,ORD-5FA8E378,PROD-C82F1F58,2,592.19,0.0,1184.38
ITEM-3B12A324,ORD-4BE4E85E,PROD-9190BD15,1,247.74,10,222.97
ITEM-DC4656D5,ORD-C9835B65,PROD-78A11418,3,23.93,0.0,71.79
ITEM-BB90E96B,ORD-498A130C,PROD-7F8AAD4F,1,277.19,0.0,277.19
ITEM-B251327D,ORD-498A130C,PROD-7F2B92E1,2,77.24,0.0,154.48
ITEM-FA8405B2,ORD-498A130C,PROD-5354E55C,1,2355.08,0.0,2355.08
ITEM-4EE1E655,ORD-498A130C,PROD-4DD9F3C9,1,62.47,5,59.35
ITEM-D0963758,ORD-498A130C,PROD-B182DE7D,3,96.49,15,246.05
ITEM-88242D0F,ORD-3B3A211C,PROD-2D3C47A3,4,290.63,0.0,1162.52
ITEM-B6D36049,ORD-300623C3,PROD-EF018219,1,239.56,10,215.6
ITEM-A2451D22,ORD-300623C3,PROD-BB6E77BC,1,475.98,0.0,475.98
ITEM-CA915697,ORD-300623C3,PROD-A5464934,3,740.63,5,2110.8
ITEM-A90D8EC6,ORD-67DDD91F,PROD-2A10FCA1,1,20.98,0.0,20.98
ITEM-2BE3EA90,ORD-67DDD91F,PROD-1E5E1765,1,82.04,0.0,82.04
ITEM-B517DDDC,ORD-67DDD91F,PROD-E0627114,1,51.32,15,43.62
ITEM-3BA3C319,ORD-67DDD91F,PROD-084C7CF4,4,152.11,0.0,608.44
ITEM-A4A07CE4,ORD-F403C274,PROD-FF175AE2,1,213.32,20,170.66
ITEM-6868AC3A,ORD-3B39A650,PROD-1F6FDF64,1,126.58,0.0,126.58
ITEM-16FB375B,ORD-3B39A650,PROD-299FD214,1,149.7,15,127.24
ITEM-7B81BCBF,ORD-E2EDC785,PROD-8594B902,3,212.65,0.0,637.95
ITEM-55E8BA8D,ORD-E2EDC785,PROD-A767940F,1,20.09,10,18.08
ITEM-C45AD31B,ORD-4D955A0F,PROD-DFE64E7E,2,35.45,5,67.36
ITEM-CDF2B782,ORD-4D955A0F,PROD-C9C066B8,1,187.53,0.0,187.53
ITEM-E29CAF0A,ORD-1B906DB6,PROD-3C3FC714,3,9.31,0.0,27.93
ITEM-5A453618,ORD-1B906DB6,PROD-78F57A58,5,67.3,0.0,336.5
ITEM-C801307D,ORD-E4D6C234,PROD-397C46BB,2,20.44,0.0,40.88
ITEM-9803CEFA,ORD-E4D6C234,PROD-4DD9F3C9,2,62.47,0.0,124.94
ITEM-68584DCC,ORD-E4D6C234,PROD-A767940F,3,20.09,0.0,60.27
ITEM-837EDC19,ORD-BC7D45A7,PROD-EA0B207A,4,64.99,0.0,259.96
ITEM-89467015,ORD-BC7D45A7,PROD-D6FAEAEA,4,668.63,0.0,2674.52
ITEM-594CBC73,ORD-BC7D45A7,PROD-CF197926,1,111.28,0.0,111.28
ITEM-3B5127E4,ORD-026FA18D,PROD-66A60E75,1,31.46,0.0,31.46
ITEM-FBBF0FA0,ORD-F0F9F872,PROD-1E5E1765,1,82.04,0.0,82.04
ITEM-7DE97A7E,ORD-F0F9F872,PROD-DFE64E7E,1,35.45,0.0,35.45
ITEM-7FCD73BE,ORD-B46811A8,PROD-E84D44D3,2,322.52,0.0,645.04
ITEM-E7EF925A,ORD-B46811A8,PROD-7F2B92E1,3,77.24,0.0,231.72
ITEM-6412C70A,ORD-B46811A8,PROD-E17CC68E,1,18.26,0.0,18.26
ITEM-152C92E0,ORD-26E5EE8B,PROD-1F6FDF64,3,126.58,0.0,379.74
ITEM-861A1F17,ORD-26E5EE8B,PROD-2B692296,1,57.08,0.0,57.08
ITEM-A7396590,ORD-1C4A440D,PROD-397C46BB,3,20.44,0.0,61.32
ITEM-C275AEC5,ORD-1C4A440D,PROD-29E2831C,3,1170.09,0.0,3510.27
ITEM-F6D3DE9F,ORD-FB93E65E,PROD-67981196,2,193.88,0.0,387.76
ITEM-08301EDB,ORD-AA03884A,PROD-A5464934,1,740.63,0.0,740.63
