order_id,customer_id,order_date,status,payment_method,subtotal,tax_amount,shipping_amount,discount_amount,total_amount,currency,shipping_country,shipping_city
ORD-FC4B3D9B,CUST-43CE1969,2024-11-20T00:00:00,delivered,bank_transfer,69.45,13.2,0.0,0.0,82.65,EUR,FR,Terheijden
ORD-5FA8E378,CUST-20BBCB82,2024-05-05T00:00:00,delivered,cash_on_delivery,2109.01,400.71,0.0,105.45,2404.27,EUR,ES,Postalesio
ORD-4BE4E85E,CUST-799F992F,2024-11-24T00:00:00,cancelled,cash_on_delivery,222.97,42.36,0.0,11.15,254.18,EUR,GB,Segovia
ORD-C9835B65,CUST-DA2A7A09,2024-08-17T00:00:00,delivered,cash_on_delivery,71.79,13.64,0.0,0.0,85.43,EUR,FR,Paul
ORD-498A130C,CUST-426466E2,2024-05-09T00:00:00,delivered,credit_card,3092.15,587.51,0.0,154.61,3525.05,EUR,DE,Eberswalde
ORD-3B3A211C,CUST-61AF4974,2023-09-07T00:00:00,delivered,bank_transfer,1162.52,220.88,0.0,58.13,1325.27,EUR,DE,Częstochowa
ORD-300623C3,CUST-5D730253,2024-10-17T00:00:00,delivered,cash_on_delivery,2802.38,532.45,0.0,140.12,3194.71,EUR,PT,Siemianowice Śląskie
ORD-67DDD91F,CUST-E84E7C38,2023-07-21T00:00:00,delivered,debit_card,755.08,143.47,0.0,37.75,860.8,EUR,ES,Sebnitz
ORD-F403C274,CUST-8031204E,2023-11-09T00:00:00,delivered,bank_transfer,170.66,32.43,0.0,0.0,203.09,EUR,FR,Port Jaredborough
ORD-3B39A650,CUST-DBDAA4EF,2024-07-04T00:00:00,returned,credit_card,253.82,48.23,0.0,12.69,289.36,EUR,ES,South Denise
ORD-E2EDC785,CUST-2C5C6332,2024-01-29T00:00:00,delivered,paypal,656.03,137.77,0.0,32.8,761.0,EUR,NL,Treschietto
ORD-4D955A0F,CUST-61D8EBFA,2024-07-04T00:00:00,delivered,paypal,254.89,48.43,0.0,12.74,290.58,EUR,FR,Fürstenfeldbruck
